date,Louis Vuitton
2019-12-29,91
2020-01-05,83
2020-01-12,77
2020-01-19,75
2020-01-26,70
2020-02-02,72
2020-02-09,70
2020-02-16,70
2020-02-23,66
2020-03-01,65
2020-03-08,56
2020-03-15,48
2020-03-22,45
2020-03-29,46
2020-04-05,50
2020-04-12,53
2020-04-19,58
2020-04-26,62
2020-05-03,64
2020-05-10,67
2020-05-17,65
2020-05-24,63
2020-05-31,69
2020-06-07,67
2020-06-14,67
2020-06-21,67
2020-06-28,68
2020-07-05,71
2020-07-12,74
2020-07-19,74
2020-07-26,73
2020-08-02,72
2020-08-09,71
2020-08-16,71
2020-08-23,71
2020-08-30,70
2020-09-06,72
2020-09-13,74
2020-09-20,70
2020-09-27,70
2020-10-04,71
2020-10-11,73
2020-10-18,67
2020-10-25,66
2020-11-01,59
2020-11-08,72
2020-11-15,68
2020-11-22,79
2020-11-29,80
2020-12-06,88
2020-12-13,86
2020-12-20,97
2020-12-27,92
2021-01-03,78
2021-01-10,70
2021-01-17,74
2021-01-24,73
2021-01-31,69
2021-02-07,70
2021-02-14,70
2021-02-21,66
2021-02-28,63
2021-03-07,62
2021-03-14,66
2021-03-21,63
2021-03-28,67
2021-04-04,66
2021-04-11,64
2021-04-18,66
2021-04-25,67
2021-05-02,71
2021-05-09,70
2021-05-16,66
2021-05-23,67
2021-05-30,70
2021-06-06,67
2021-06-13,67
2021-06-20,67
2021-06-27,64
2021-07-04,72
2021-07-11,69
2021-07-18,72
2021-07-25,64
2021-08-01,68
2021-08-08,73
2021-08-15,68
2021-08-22,68
2021-08-29,66
2021-09-05,67
2021-09-12,71
2021-09-19,69
2021-09-26,71
2021-10-03,69
2021-10-10,73
2021-10-17,71
2021-10-24,69
2021-10-31,72
2021-11-07,72
2021-11-14,76
2021-11-21,87
2021-11-28,99
2021-12-05,91
2021-12-12,89
2021-12-19,98
2021-12-26,100
2022-01-02,82
2022-01-09,72
2022-01-16,67
2022-01-23,69
2022-01-30,71
2022-02-06,71
2022-02-13,75
2022-02-20,68
2022-02-27,66
2022-03-06,64
2022-03-13,67
2022-03-20,66
2022-03-27,63
2022-04-03,62
2022-04-10,66
2022-04-17,66
2022-04-24,68
2022-05-01,68
2022-05-08,62
2022-05-15,63
2022-05-22,66
2022-05-29,63
2022-06-05,63
2022-06-12,63
2022-06-19,63
2022-06-26,63
2022-07-03,63
2022-07-10,65
2022-07-17,80
2022-07-24,65
2022-07-31,68
2022-08-07,66
2022-08-14,72
2022-08-21,66
2022-08-28,64
2022-09-04,61
2022-09-11,60
2022-09-18,59
2022-09-25,65
2022-10-02,61
2022-10-09,61
2022-10-16,59
2022-10-23,62
2022-10-30,61
2022-11-06,65
2022-11-13,67
2022-11-20,75
2022-11-27,70
2022-12-04,73
2022-12-11,77
2022-12-18,84
2022-12-25,98
2023-01-01,77
2023-01-08,69
2023-01-15,69
2023-01-22,67
2023-01-29,67
2023-02-05,60
2023-02-12,64
2023-02-19,63
2023-02-26,60
2023-03-05,63
2023-03-12,59
2023-03-19,59
2023-03-26,57
2023-04-02,63
2023-04-09,64
2023-04-16,64
2023-04-23,61
2023-04-30,63
2023-05-07,59
2023-05-14,59
2023-05-21,61
2023-05-28,58
2023-06-04,58
2023-06-11,65
2023-06-18,71
2023-06-25,66
2023-07-02,67
2023-07-09,59
2023-07-16,58
2023-07-23,58
2023-07-30,61
2023-08-06,60
2023-08-13,63
2023-08-20,61
2023-08-27,60
2023-09-03,56
2023-09-10,54
2023-09-17,57
2023-09-24,57
2023-10-01,57
2023-10-08,55
2023-10-15,55
2023-10-22,57
2023-10-29,55
2023-11-05,59
2023-11-12,61
2023-11-19,65
2023-11-26,65
2023-12-03,65
2023-12-10,69
2023-12-17,73
2023-12-24,87
2023-12-31,72
