date,Hermes
2019-12-29,67
2020-01-05,68
2020-01-12,65
2020-01-19,60
2020-01-26,57
2020-02-02,62
2020-02-09,64
2020-02-16,57
2020-02-23,56
2020-03-01,62
2020-03-08,60
2020-03-15,51
2020-03-22,52
2020-03-29,62
2020-04-05,64
2020-04-12,69
2020-04-19,68
2020-04-26,71
2020-05-03,75
2020-05-10,74
2020-05-17,72
2020-05-24,74
2020-05-31,77
2020-06-07,78
2020-06-14,71
2020-06-21,73
2020-06-28,72
2020-07-05,69
2020-07-12,70
2020-07-19,66
2020-07-26,65
2020-08-02,64
2020-08-09,68
2020-08-16,64
2020-08-23,60
2020-08-30,59
2020-09-06,66
2020-09-13,62
2020-09-20,63
2020-09-27,62
2020-10-04,72
2020-10-11,65
2020-10-18,66
2020-10-25,74
2020-11-01,65
2020-11-08,72
2020-11-15,75
2020-11-22,76
2020-11-29,87
2020-12-06,93
2020-12-13,100
2020-12-20,81
2020-12-27,76
2021-01-03,77
2021-01-10,77
2021-01-17,73
2021-01-24,70
2021-01-31,73
2021-02-07,74
2021-02-14,79
2021-02-21,67
2021-02-28,73
2021-03-07,74
2021-03-14,70
2021-03-21,65
2021-03-28,68
2021-04-04,71
2021-04-11,72
2021-04-18,72
2021-04-25,66
2021-05-02,74
2021-05-09,69
2021-05-16,72
2021-05-23,66
2021-05-30,78
2021-06-06,68
2021-06-13,65
2021-06-20,69
2021-06-27,69
2021-07-04,65
2021-07-11,64
2021-07-18,68
2021-07-25,62
2021-08-01,63
2021-08-08,62
2021-08-15,62
2021-08-22,63
2021-08-29,65
2021-09-05,64
2021-09-12,66
2021-09-19,63
2021-09-26,65
2021-10-03,66
2021-10-10,68
2021-10-17,69
2021-10-24,71
2021-10-31,69
2021-11-07,71
2021-11-14,70
2021-11-21,73
2021-11-28,86
2021-12-05,88
2021-12-12,88
2021-12-19,79
2021-12-26,71
2022-01-02,80
2022-01-09,75
2022-01-16,66
2022-01-23,65
2022-01-30,71
2022-02-06,71
2022-02-13,66
2022-02-20,61
2022-02-27,59
2022-03-06,57
2022-03-13,64
2022-03-20,62
2022-03-27,61
2022-04-03,61
2022-04-10,58
2022-04-17,60
2022-04-24,63
2022-05-01,62
2022-05-08,61
2022-05-15,60
2022-05-22,59
2022-05-29,62
2022-06-05,61
2022-06-12,60
2022-06-19,62
2022-06-26,61
2022-07-03,62
2022-07-10,62
2022-07-17,61
2022-07-24,65
2022-07-31,60
2022-08-07,64
2022-08-14,59
2022-08-21,58
2022-08-28,58
2022-09-04,56
2022-09-11,59
2022-09-18,59
2022-09-25,59
2022-10-02,57
2022-10-09,59
2022-10-16,59
2022-10-23,54
2022-10-30,55
2022-11-06,59
2022-11-13,62
2022-11-20,57
2022-11-27,64
2022-12-04,66
2022-12-11,69
2022-12-18,70
2022-12-25,65
2023-01-01,60
2023-01-08,61
2023-01-15,59
2023-01-22,58
2023-01-29,58
2023-02-05,58
2023-02-12,56
2023-02-19,56
2023-02-26,54
2023-03-05,57
2023-03-12,57
2023-03-19,60
2023-03-26,55
2023-04-02,57
2023-04-09,57
2023-04-16,58
2023-04-23,59
2023-04-30,57
2023-05-07,57
2023-05-14,54
2023-05-21,57
2023-05-28,59
2023-06-04,60
2023-06-11,64
2023-06-18,62
2023-06-25,62
2023-07-02,65
2023-07-09,64
2023-07-16,71
2023-07-23,61
2023-07-30,61
2023-08-06,65
2023-08-13,60
2023-08-20,60
2023-08-27,58
2023-09-03,57
2023-09-10,58
2023-09-17,56
2023-09-24,56
2023-10-01,55
2023-10-08,59
2023-10-15,58
2023-10-22,58
2023-10-29,53
2023-11-05,63
2023-11-12,62
2023-11-19,67
2023-11-26,70
2023-12-03,76
2023-12-10,72
2023-12-17,74
2023-12-24,67
2023-12-31,65
