date,Prada
2019-12-29,55
2020-01-05,51
2020-01-12,49
2020-01-19,48
2020-01-26,45
2020-02-02,47
2020-02-09,49
2020-02-16,50
2020-02-23,46
2020-03-01,47
2020-03-08,41
2020-03-15,37
2020-03-22,35
2020-03-29,36
2020-04-05,37
2020-04-12,38
2020-04-19,38
2020-04-26,43
2020-05-03,42
2020-05-10,41
2020-05-17,46
2020-05-24,44
2020-05-31,42
2020-06-07,43
2020-06-14,45
2020-06-21,45
2020-06-28,52
2020-07-05,48
2020-07-12,53
2020-07-19,54
2020-07-26,50
2020-08-02,51
2020-08-09,51
2020-08-16,49
2020-08-23,51
2020-08-30,58
2020-09-06,57
2020-09-13,59
2020-09-20,55
2020-09-27,55
2020-10-04,57
2020-10-11,57
2020-10-18,55
2020-10-25,52
2020-11-01,49
2020-11-08,52
2020-11-15,55
2020-11-22,59
2020-11-29,56
2020-12-06,61
2020-12-13,57
2020-12-20,65
2020-12-27,67
2021-01-03,55
2021-01-10,63
2021-01-17,79
2021-01-24,66
2021-01-31,59
2021-02-07,67
2021-02-14,76
2021-02-21,63
2021-02-28,56
2021-03-07,57
2021-03-14,53
2021-03-21,52
2021-03-28,51
2021-04-04,51
2021-04-11,54
2021-04-18,63
2021-04-25,61
2021-05-02,57
2021-05-09,56
2021-05-16,52
2021-05-23,59
2021-05-30,58
2021-06-06,53
2021-06-13,55
2021-06-20,60
2021-06-27,58
2021-07-04,59
2021-07-11,57
2021-07-18,58
2021-07-25,56
2021-08-01,57
2021-08-08,56
2021-08-15,58
2021-08-22,58
2021-08-29,60
2021-09-05,62
2021-09-12,65
2021-09-19,64
2021-09-26,63
2021-10-03,60
2021-10-10,61
2021-10-17,61
2021-10-24,60
2021-10-31,62
2021-11-07,66
2021-11-14,64
2021-11-21,73
2021-11-28,75
2021-12-05,74
2021-12-12,74
2021-12-19,82
2021-12-26,81
2022-01-02,79
2022-01-09,74
2022-01-16,68
2022-01-23,67
2022-01-30,68
2022-02-06,71
2022-02-13,71
2022-02-20,70
2022-02-27,72
2022-03-06,68
2022-03-13,71
2022-03-20,68
2022-03-27,68
2022-04-03,66
2022-04-10,71
2022-04-17,72
2022-04-24,73
2022-05-01,82
2022-05-08,94
2022-05-15,74
2022-05-22,72
2022-05-29,71
2022-06-05,73
2022-06-12,72
2022-06-19,73
2022-06-26,71
2022-07-03,71
2022-07-10,71
2022-07-17,73
2022-07-24,74
2022-07-31,75
2022-08-07,73
2022-08-14,79
2022-08-21,73
2022-08-28,72
2022-09-04,70
2022-09-11,72
2022-09-18,73
2022-09-25,75
2022-10-02,74
2022-10-09,74
2022-10-16,70
2022-10-23,73
2022-10-30,69
2022-11-06,69
2022-11-13,76
2022-11-20,79
2022-11-27,75
2022-12-04,79
2022-12-11,82
2022-12-18,91
2022-12-25,96
2023-01-01,82
2023-01-08,81
2023-01-15,75
2023-01-22,69
2023-01-29,71
2023-02-05,70
2023-02-12,68
2023-02-19,73
2023-02-26,67
2023-03-05,68
2023-03-12,68
2023-03-19,73
2023-03-26,75
2023-04-02,71
2023-04-09,76
2023-04-16,75
2023-04-23,73
2023-04-30,78
2023-05-07,75
2023-05-14,73
2023-05-21,78
2023-05-28,76
2023-06-04,74
2023-06-11,75
2023-06-18,76
2023-06-25,80
2023-07-02,77
2023-07-09,81
2023-07-16,78
2023-07-23,75
2023-07-30,77
2023-08-06,76
2023-08-13,72
2023-08-20,73
2023-08-27,74
2023-09-03,72
2023-09-10,71
2023-09-17,78
2023-09-24,78
2023-10-01,77
2023-10-08,74
2023-10-15,73
2023-10-22,68
2023-10-29,73
2023-11-05,82
2023-11-12,79
2023-11-19,86
2023-11-26,85
2023-12-03,87
2023-12-10,89
2023-12-17,92
2023-12-24,100
2023-12-31,86
